Link;Number;Name;Date;Time
https://indico.cern.ch/event/1106990/contributions/4991341/;178;Differentiating through Awkward Arrays using JAX and a new CUDA backend for Awkward Arrays;26/10/2022;11:15
https://indico.cern.ch/event/1106990/contributions/4998112/;170;Hyperparameter optimization, multi-node distributed training and benchmarking of AI-based HEP workloads using HPC;26/10/2022;11:15
https://indico.cern.ch/event/1106990/contributions/4991350/;194;Integration of machine learning-trained models into JUNO's offline software;26/10/2022;11:15
https://indico.cern.ch/event/1106990/contributions/4998100/;154;Mock Data Challenge for the JUNO experiment;26/10/2022;11:15
https://indico.cern.ch/event/1106990/contributions/4991340/;176;Of Frames and schema evolution - The newest features of podio;26/10/2022;11:15
https://indico.cern.ch/event/1106990/contributions/4998119/;174;Optimizing electron and photon reconstruction using deep learning: application to the CMS electromagnetic calorimeter;26/10/2022;11:15
https://indico.cern.ch/event/1106990/contributions/4991330/;149;Pyrate: a novel system for data transformations, reconstruction and analysis for the SABRE experiment;26/10/2022;11:15
https://indico.cern.ch/event/1106990/contributions/4998130/;193;Real-time alignment procedure at the LHCb experiment for Run3;26/10/2022;11:15
https://indico.cern.ch/event/1106990/contributions/4998120/;175;Speeding up the CMS track reconstruction with a parallelized and vectorized Kalman-filter-based algorithm during the LHC Run 3;26/10/2022;11:15
https://indico.cern.ch/event/1106990/contributions/4991332/;159;The Key4hep Turnkey Software Stack: Beyond Future Higgs Factories;26/10/2022;11:15
https://indico.cern.ch/event/1106990/contributions/4998131/;199;Track reconstruction using quantum algorithms at LUXE;26/10/2022;11:15
https://indico.cern.ch/event/1106990/contributions/4998132/;200;A calibrated particle identification for Belle II;27/10/2022;11:00
https://indico.cern.ch/event/1106990/contributions/4998133/;201;Accelerating the DBSCAN clustering algorithm for low-latency primary vertex reconstruction;27/10/2022;11:00
https://indico.cern.ch/event/1106990/contributions/4998140/;213;Binning high-dimensional classifier output for HEP analyses through a clustering algorithm;27/10/2022;11:00
https://indico.cern.ch/event/1106990/contributions/4991353/;236;Ceph S3 Object Storage for CMS data;27/10/2022;11:00
https://indico.cern.ch/event/1106990/contributions/4991358/;246;Compiling Awkward Lorentz Vectors with Numba;27/10/2022;11:00
https://indico.cern.ch/event/1106990/contributions/5011939/;252;Data transfer to remote GPUs over high performance networks;27/10/2022;11:00
https://indico.cern.ch/event/1106990/contributions/4998137/;210;Equivariant Neural Networks for Particle Physics: PELICAN;27/10/2022;11:00
https://indico.cern.ch/event/1106990/contributions/4991354/;238;Fast analysis facility for HEP experiments;27/10/2022;11:00
https://indico.cern.ch/event/1106990/contributions/4998134/;202;High performance analysis with RDataFrame and the python ecosystem: Scaling and Interoperability;27/10/2022;11:00
https://indico.cern.ch/event/1106990/contributions/4998167/;240;Law: End-to-End Analysis Automation over Distributed Resources;27/10/2022;11:00
https://indico.cern.ch/event/1106990/contributions/4998172/;245;Noise removal of the events at main drift chamber of BESIII with deep learning techniques;27/10/2022;11:00
https://indico.cern.ch/event/1106990/contributions/4991359/;248;Performance portability with alpaka;27/10/2022;11:00
https://indico.cern.ch/event/1106990/contributions/5007274/;209;Quality assurance of the LHCb simulation;27/10/2022;11:00
https://indico.cern.ch/event/1106990/contributions/4998164/;234;ROOT Machine Learning Ecosystem for Data Analysis;27/10/2022;11:00
https://indico.cern.ch/event/1106990/contributions/5011940/;253;SCD: an open, realistic calorimeter for ML studies in HEP;27/10/2022;11:00
https://indico.cern.ch/event/1106990/contributions/4991357/;244;Ultra-low latency recurrent neural network inference on FPGAs for physics applications with hls4ml;27/10/2022;11:00
https://indico.cern.ch/event/1106990/contributions/4998154/;227;A Checker-Board Sky: Automating Telescope Scheduling with Reinforcement Learning;27/10/2022;11:15
https://indico.cern.ch/event/1106990/contributions/4998147/;220;Binned histogram fitting for Bayesian inference via Automatic Differentiation in JuliaLang;27/10/2022;11:15
https://indico.cern.ch/event/1106990/contributions/4998151/;223;Cluster counting algorithms for particle identification at future colliders;27/10/2022;11:15
